学号     姓名         出生日期          性别       健康状况
1          李华        20010303         男           良好         
2          王明        20020416         男           正常      
3          王玉        20020718         女           良好        
4          张明月     20030920         女           良好         
5        玛卡巴卡    20051011         男           正常        
6         奥特曼      19991119         男           异常    
7         汤布里布   20041817         男           良好
8        小点点       20030717          女          正常   
9        唔西迪西    20031126         女           良好
10      依古比古    20031224         男           良好
0 # # # # 
